remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BET-44AE39;Fosfato de Potássio (Fosfato de Potássio Dibásico + Fosfato de Potássio Monobásico) 2meq/ml (156,7mg/ml + 30mg/ml) - Solução Injetável;Fosfato de Potássio (Fosfato de Potássio Dibásico + Fosfato de Potássio Monobásico) 2meq/ml (;156,7mg/ml + 30mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-275C36;Fosfomicina Trometamol 3g - Granulado;Fosfomicina Trometamol;3g;granulado;;;;oral;ativo
23/09/2026;BET-F57D14;Furosemida 10mg/ml - Solução Injetável;Furosemida;10mg/ml;solução injetável;;UBS, CX EMERGÊNCIA, UPA, HPRB, CIMUC, SAMU, SEPADI;;injetável;ativo
23/09/2026;BET-2111A5;Furosemida 40mg - Comprimido;Furosemida;40mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-BDBF51;Gentamicina 40mg/ml - Solução Injetável;Gentamicina;40mg/ml;solução injetável;;UPA, HPRB, PID, UBS;;injetável;ativo
23/09/2026;BET-415E47;Glibenclamida 5mg - Comprimido;Glibenclamida;5mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-3F8278;Glicerina 120mg/ml (12%) - Solução Retal;Glicerina;120mg/ml (12%);solução;;UBS, UPA, PAD, HPRB, PID;;retal;ativo
23/09/2026;BET-6E209F;Glicina 15mg/ml (1,5%) - Solução para Irrigação;Glicina;15mg/ml (1,5%);solução;;;;;ativo
23/09/2026;BET-9BCCE8;Gliclazida 30mg - Comprimido de Liberação Controlada;Gliclazida;30mg;comprimido;;;;oral;ativo
23/09/2026;BET-7A39A3;Gliclazida 60mg - Comprimido de Liberação Controlada;Gliclazida;60mg;comprimido;;;;oral;ativo
